datetime,ec
2022-01-01 00:00:00,197.49
2022-01-01 01:00:00,192.89
2022-01-01 02:00:00,192.46
2022-01-01 03:00:00,192.57
2022-01-01 04:00:00,192.13
2022-01-01 05:00:00,191.8
2022-01-01 06:00:00,191.89
2022-01-01 07:00:00,191.93
2022-01-01 08:00:00,192.62
2022-01-01 09:00:00,195.31
2022-01-01 10:00:00,202.78
2022-01-01 11:00:00,209.89
2022-01-01 12:00:00,220.48
2022-01-01 13:00:00,227.76
2022-01-01 14:00:00,237.6
2022-01-01 15:00:00,242.62
2022-01-01 16:00:00,250.04
2022-01-01 17:00:00,260.82
2022-01-01 18:00:00,261.99
2022-01-01 19:00:00,253.11
2022-01-01 20:00:00,238.28
2022-01-01 21:00:00,227.59
2022-01-01 22:00:00,213.73
2022-01-01 23:00:00,206.37
2022-01-02 00:00:00,198.59
2022-01-02 01:00:00,195.77
2022-01-02 02:00:00,193.87
2022-01-02 03:00:00,190.37
2022-01-02 04:00:00,183.33
2022-01-02 05:00:00,177.11
2022-01-02 06:00:00,177.83
2022-01-02 07:00:00,184.1
2022-01-02 08:00:00,190.3
2022-01-02 09:00:00,193.97
2022-01-02 10:00:00,196.38
2022-01-02 11:00:00,201.71
2022-01-02 12:00:00,209.55
2022-01-02 13:00:00,216.62
2022-01-02 14:00:00,226.23
2022-01-02 15:00:00,234.44
2022-01-02 16:00:00,242.64
2022-01-02 17:00:00,243.64
2022-01-02 18:00:00,249.97
2022-01-02 19:00:00,237.54
2022-01-02 20:00:00,231.04
2022-01-02 21:00:00,219.74
2022-01-02 22:00:00,210.97
2022-01-02 23:00:00,203.64
2022-01-03 00:00:00,198.13
2022-01-03 01:00:00,195.45
2022-01-03 02:00:00,191.28
2022-01-03 03:00:00,184.49
2022-01-03 04:00:00,175.2
2022-01-03 05:00:00,166.38
2022-01-03 06:00:00,163.42
2022-01-03 07:00:00,163.74
2022-01-03 08:00:00,149.29
2022-01-03 09:00:00,176.75
2022-01-03 10:00:00,185.18
2022-01-03 11:00:00,192.37
2022-01-03 12:00:00,201.68
2022-01-03 13:00:00,205.84
2022-01-03 14:00:00,212.03
2022-01-03 15:00:00,218.8
2022-01-03 16:00:00,221.16
2022-01-03 17:00:00,223.92
2022-01-03 18:00:00,225.71
2022-01-03 19:00:00,225.35
2022-01-03 20:00:00,223.88
2022-01-03 21:00:00,223.05
2022-01-03 22:00:00,215.62
2022-01-03 23:00:00,208.7
2022-01-04 00:00:00,204.73
2022-01-04 01:00:00,197.5
2022-01-04 02:00:00,189.91
2022-01-04 03:00:00,183.06
2022-01-04 04:00:00,175.43
2022-01-04 05:00:00,150.17
2022-01-04 06:00:00,162.01
2022-01-04 07:00:00,159.87
2022-01-04 08:00:00,161.08
2022-01-04 09:00:00,165.45
2022-01-04 10:00:00,172.46
2022-01-04 11:00:00,181.54
2022-01-04 12:00:00,190.42
2022-01-04 13:00:00,199.51
2022-01-04 14:00:00,207.73
2022-01-04 15:00:00,216.1
2022-01-04 16:00:00,222.72
2022-01-04 17:00:00,228.46
2022-01-04 18:00:00,231.54
2022-01-04 19:00:00,232.89
2022-01-04 20:00:00,236.56
2022-01-04 21:00:00,231.04
2022-01-04 22:00:00,224.0
2022-01-04 23:00:00,215.45
2022-01-05 00:00:00,208.66
2022-01-05 01:00:00,199.87
2022-01-05 02:00:00,192.15
2022-01-05 03:00:00,183.91
2022-01-05 04:00:00,176.31
2022-01-05 05:00:00,169.35
2022-01-05 06:00:00,163.96
2022-01-05 07:00:00,160.94
2022-01-05 08:00:00,159.51
2022-01-05 09:00:00,161.33
2022-01-05 10:00:00,164.15
2022-01-05 11:00:00,169.14
2022-01-05 12:00:00,177.36
2022-01-05 13:00:00,185.23
2022-01-05 14:00:00,195.19
2022-01-05 15:00:00,202.99
2022-01-05 16:00:00,208.1
2022-01-05 17:00:00,209.58
2022-01-05 18:00:00,208.86
2022-01-05 19:00:00,206.84
2022-01-05 20:00:00,208.59
2022-01-05 21:00:00,210.34
2022-01-05 22:00:00,214.86
2022-01-05 23:00:00,209.6
2022-01-06 00:00:00,204.23
2022-01-06 01:00:00,197.53
2022-01-06 02:00:00,190.09
2022-01-06 03:00:00,181.58
2022-01-06 04:00:00,176.69
2022-01-06 05:00:00,171.76
2022-01-06 06:00:00,167.71
2022-01-06 07:00:00,165.67
2022-01-06 08:00:00,163.75
2022-01-06 09:00:00,163.63
2022-01-06 10:00:00,164.6
2022-01-06 11:00:00,166.95
2022-01-06 12:00:00,170.28
2022-01-06 13:00:00,176.1
2022-01-06 14:00:00,182.13
2022-01-06 15:00:00,189.42
2022-01-06 16:00:00,196.1
2022-01-06 17:00:00,199.55
2022-01-06 18:00:00,197.71
2022-01-06 19:00:00,196.78
2022-01-06 20:00:00,197.08
2022-01-06 21:00:00,202.26
2022-01-06 22:00:00,206.28
2022-01-06 23:00:00,212.18
2022-01-07 00:00:00,206.28
2022-01-07 01:00:00,199.25
2022-01-07 02:00:00,191.27
2022-01-07 03:00:00,183.7
2022-01-07 04:00:00,177.39
2022-01-07 05:00:00,173.24
2022-01-07 06:00:00,169.45
2022-01-07 07:00:00,149.37
2022-01-07 08:00:00,167.58
2022-01-07 09:00:00,167.39
2022-01-07 10:00:00,167.46
2022-01-07 11:00:00,175.49
2022-01-07 12:00:00,179.32
2022-01-07 13:00:00,186.82
2022-01-07 14:00:00,193.14
2022-01-07 15:00:00,196.57
2022-01-07 16:00:00,200.16
2022-01-07 17:00:00,207.89
2022-01-07 18:00:00,205.48
2022-01-07 19:00:00,201.5
2022-01-07 20:00:00,199.02
2022-01-07 21:00:00,198.68
2022-01-07 22:00:00,202.02
2022-01-07 23:00:00,207.95
2022-01-08 00:00:00,213.93
2022-01-08 01:00:00,208.3
2022-01-08 02:00:00,201.47
2022-01-08 03:00:00,196.91
2022-01-08 04:00:00,194.25
2022-01-08 05:00:00,188.63
2022-01-08 06:00:00,181.94
2022-01-08 07:00:00,177.25
2022-01-08 08:00:00,172.19
2022-01-08 09:00:00,170.37
2022-01-08 10:00:00,170.52
2022-01-08 11:00:00,174.59
2022-01-08 12:00:00,180.2
2022-01-08 13:00:00,198.57
2022-01-08 14:00:00,193.98
2022-01-08 15:00:00,199.42
2022-01-08 16:00:00,207.6
2022-01-08 17:00:00,216.87
2022-01-08 18:00:00,210.72
2022-01-08 19:00:00,205.15
2022-01-08 20:00:00,201.61
2022-01-08 21:00:00,197.35
2022-01-08 22:00:00,196.05
2022-01-08 23:00:00,196.37
2022-01-09 00:00:00,198.82
2022-01-09 01:00:00,199.39
2022-01-09 02:00:00,196.34
2022-01-09 03:00:00,192.89
2022-01-09 04:00:00,188.06
2022-01-09 05:00:00,182.14
2022-01-09 06:00:00,176.78
2022-01-09 07:00:00,173.49
2022-01-09 08:00:00,170.91
2022-01-09 09:00:00,169.05
2022-01-09 10:00:00,169.24
2022-01-09 11:00:00,171.32
2022-01-09 12:00:00,174.2
2022-01-09 13:00:00,178.81
2022-01-09 14:00:00,185.67
2022-01-09 15:00:00,192.52
2022-01-09 16:00:00,199.44
2022-01-09 17:00:00,204.24
2022-01-09 18:00:00,200.8
2022-01-09 19:00:00,197.69
2022-01-09 20:00:00,194.37
2022-01-09 21:00:00,189.14
2022-01-09 22:00:00,184.33
2022-01-09 23:00:00,181.42
2022-01-10 00:00:00,180.93
2022-01-10 01:00:00,182.38
2022-01-10 02:00:00,182.02
2022-01-10 03:00:00,179.61
2022-01-10 04:00:00,177.47
2022-01-10 05:00:00,175.48
2022-01-10 06:00:00,174.65
2022-01-10 07:00:00,172.22
2022-01-10 08:00:00,172.14
2022-01-10 09:00:00,171.12
2022-01-10 10:00:00,171.31
2022-01-10 11:00:00,172.45
2022-01-10 12:00:00,173.85
2022-01-10 13:00:00,176.92
2022-01-10 14:00:00,179.63
2022-01-10 15:00:00,185.34
2022-01-10 16:00:00,193.29
2022-01-10 17:00:00,197.82
2022-01-10 18:00:00,195.14
2022-01-10 19:00:00,193.02
2022-01-10 20:00:00,187.64
2022-01-10 21:00:00,181.96
2022-01-10 22:00:00,178.5
2022-01-10 23:00:00,177.69
2022-01-11 00:00:00,176.18
2022-01-11 01:00:00,175.46
2022-01-11 02:00:00,176.18
2022-01-11 03:00:00,176.52
2022-01-11 04:00:00,176.55
2022-01-11 05:00:00,176.04
2022-01-11 06:00:00,175.32
2022-01-11 07:00:00,175.06
2022-01-11 08:00:00,175.04
2022-01-11 09:00:00,174.49
2022-01-11 10:00:00,174.84
2022-01-11 11:00:00,175.83
2022-01-11 12:00:00,176.41
2022-01-11 13:00:00,178.74
2022-01-11 14:00:00,182.94
2022-01-11 15:00:00,190.33
2022-01-11 16:00:00,198.56
2022-01-11 17:00:00,204.21
2022-01-11 18:00:00,199.0
2022-01-11 19:00:00,196.53
2022-01-11 20:00:00,190.73
2022-01-11 21:00:00,184.55
2022-01-11 22:00:00,180.42
2022-01-11 23:00:00,178.39
2022-01-12 00:00:00,177.62
2022-01-12 01:00:00,177.21
2022-01-12 02:00:00,177.19
2022-01-12 03:00:00,177.75
2022-01-12 04:00:00,178.69
2022-01-12 05:00:00,179.47
2022-01-12 06:00:00,180.23
2022-01-12 07:00:00,180.02
2022-01-12 08:00:00,179.63
2022-01-12 09:00:00,179.85
2022-01-12 10:00:00,182.28
2022-01-12 11:00:00,196.37
2022-01-12 12:00:00,201.19
2022-01-12 13:00:00,217.36
2022-01-12 14:00:00,220.61
2022-01-12 15:00:00,238.78
2022-01-12 16:00:00,262.94
2022-01-12 17:00:00,280.36
2022-01-12 18:00:00,278.17
2022-01-12 19:00:00,254.77
2022-01-12 20:00:00,239.1
2022-01-12 21:00:00,221.04
2022-01-12 22:00:00,213.92
2022-01-12 23:00:00,201.37
2022-01-13 00:00:00,192.88
2022-01-13 01:00:00,184.48
2022-01-13 02:00:00,181.54
2022-01-13 03:00:00,181.41
2022-01-13 04:00:00,184.74
2022-01-13 05:00:00,191.49
2022-01-13 06:00:00,199.35
2022-01-13 07:00:00,205.38
2022-01-13 08:00:00,222.08
2022-01-13 09:00:00,222.7
2022-01-13 10:00:00,228.18
2022-01-13 11:00:00,241.19
2022-01-13 12:00:00,257.07
2022-01-13 13:00:00,288.64
2022-01-13 14:00:00,307.54
2022-01-13 15:00:00,328.19
2022-01-13 16:00:00,335.02
2022-01-13 17:00:00,325.18
2022-01-13 18:00:00,315.8
2022-01-13 19:00:00,306.91
2022-01-13 20:00:00,284.08
2022-01-13 21:00:00,252.49
2022-01-13 22:00:00,229.36
2022-01-13 23:00:00,217.33
2022-01-14 00:00:00,203.46
2022-01-14 01:00:00,191.3
2022-01-14 02:00:00,185.53
2022-01-14 03:00:00,182.98
2022-01-14 04:00:00,182.33
2022-01-14 05:00:00,182.98
2022-01-14 06:00:00,185.28
2022-01-14 07:00:00,200.79
2022-01-14 08:00:00,211.64
2022-01-14 09:00:00,222.11
2022-01-14 10:00:00,233.1
2022-01-14 11:00:00,245.96
2022-01-14 12:00:00,265.45
2022-01-14 13:00:00,280.83
2022-01-14 14:00:00,298.06
2022-01-14 15:00:00,320.56
2022-01-14 16:00:00,326.24
2022-01-14 17:00:00,335.44
2022-01-14 18:00:00,314.54
2022-01-14 19:00:00,306.95
2022-01-14 20:00:00,279.75
2022-01-14 21:00:00,255.66
2022-01-14 22:00:00,235.07
2022-01-14 23:00:00,220.07
2022-01-15 00:00:00,210.48
2022-01-15 01:00:00,196.99
2022-01-15 02:00:00,185.97
2022-01-15 03:00:00,197.6
2022-01-15 04:00:00,205.28
2022-01-15 05:00:00,197.87
2022-01-15 06:00:00,184.56
2022-01-15 07:00:00,188.88
2022-01-15 08:00:00,196.48
2022-01-15 09:00:00,209.86
2022-01-15 10:00:00,226.08
2022-01-15 11:00:00,242.59
2022-01-15 12:00:00,262.97
2022-01-15 13:00:00,285.22
2022-01-15 14:00:00,309.86
2022-01-15 15:00:00,309.86
2022-01-15 16:00:00,306.18
2022-01-15 17:00:00,303.42
2022-01-15 18:00:00,299.15
2022-01-15 19:00:00,291.23
2022-01-15 20:00:00,283.62
2022-01-15 21:00:00,262.54
2022-01-15 22:00:00,244.57
2022-01-15 23:00:00,227.29
2022-01-16 00:00:00,210.52
2022-01-16 01:00:00,201.4
2022-01-16 02:00:00,192.61
2022-01-16 03:00:00,185.87
2022-01-16 04:00:00,181.64
2022-01-16 05:00:00,180.47
2022-01-16 06:00:00,180.6
2022-01-16 07:00:00,185.47
2022-01-16 08:00:00,190.28
2022-01-16 09:00:00,199.37
2022-01-16 10:00:00,212.03
2022-01-16 11:00:00,229.71
2022-01-16 12:00:00,252.39
2022-01-16 13:00:00,278.33
2022-01-16 14:00:00,315.24
2022-01-16 15:00:00,337.85
2022-01-16 16:00:00,338.4
2022-01-16 17:00:00,325.44
2022-01-16 18:00:00,328.93
2022-01-16 19:00:00,326.18
2022-01-16 20:00:00,317.42
2022-01-16 21:00:00,299.48
2022-01-16 22:00:00,278.66
2022-01-16 23:00:00,246.08
2022-01-17 00:00:00,222.29
2022-01-17 01:00:00,209.66
2022-01-17 02:00:00,199.16
2022-01-17 03:00:00,190.02
2022-01-17 04:00:00,182.81
2022-01-17 05:00:00,178.14
2022-01-17 06:00:00,177.11
2022-01-17 07:00:00,179.69
2022-01-17 08:00:00,185.33
2022-01-17 09:00:00,190.5
2022-01-17 10:00:00,201.99
2022-01-17 11:00:00,219.34
2022-01-17 12:00:00,246.41
2022-01-17 13:00:00,279.28
2022-01-17 14:00:00,316.63
2022-01-17 15:00:00,343.8
2022-01-17 16:00:00,340.34
2022-01-17 17:00:00,328.04
2022-01-17 18:00:00,322.16
2022-01-17 19:00:00,320.98
2022-01-17 20:00:00,311.63
2022-01-17 21:00:00,297.02
2022-01-17 22:00:00,266.49
2022-01-17 23:00:00,238.36
2022-01-18 00:00:00,218.99
2022-01-18 01:00:00,204.59
2022-01-18 02:00:00,196.62
2022-01-18 03:00:00,188.53
2022-01-18 04:00:00,182.31
2022-01-18 05:00:00,176.32
2022-01-18 06:00:00,173.06
2022-01-18 07:00:00,173.23
2022-01-18 08:00:00,177.37
2022-01-18 09:00:00,183.14
2022-01-18 10:00:00,190.87
2022-01-18 11:00:00,201.01
2022-01-18 12:00:00,217.84
2022-01-18 13:00:00,246.62
2022-01-18 14:00:00,284.37
2022-01-18 15:00:00,311.66
2022-01-18 16:00:00,306.48
2022-01-18 17:00:00,302.13
2022-01-18 18:00:00,286.5
2022-01-18 19:00:00,287.99
2022-01-18 20:00:00,277.33
2022-01-18 21:00:00,277.71
2022-01-18 22:00:00,267.9
2022-01-18 23:00:00,248.84
2022-01-19 00:00:00,226.24
2022-01-19 01:00:00,208.49
2022-01-19 02:00:00,195.64
2022-01-19 03:00:00,189.48
2022-01-19 04:00:00,182.78
2022-01-19 05:00:00,176.91
2022-01-19 06:00:00,172.01
2022-01-19 07:00:00,170.74
2022-01-19 08:00:00,173.92
2022-01-19 09:00:00,180.47
2022-01-19 10:00:00,188.23
2022-01-19 11:00:00,197.38
2022-01-19 12:00:00,216.93
2022-01-19 13:00:00,247.41
2022-01-19 14:00:00,294.87
2022-01-19 15:00:00,339.49
2022-01-19 16:00:00,347.76
2022-01-19 17:00:00,329.42
2022-01-19 18:00:00,314.71
2022-01-19 19:00:00,311.64
2022-01-19 20:00:00,325.62
2022-01-19 21:00:00,368.3
2022-01-19 22:00:00,376.56
2022-01-19 23:00:00,351.58
2022-01-20 00:00:00,304.79
2022-01-20 01:00:00,261.74
2022-01-20 02:00:00,229.58
2022-01-20 03:00:00,204.11
2022-01-20 04:00:00,193.51
2022-01-20 05:00:00,184.89
2022-01-20 06:00:00,178.11
2022-01-20 07:00:00,174.88
2022-01-20 08:00:00,174.82
2022-01-20 09:00:00,177.77
2022-01-20 10:00:00,187.68
2022-01-20 11:00:00,197.91
2022-01-20 12:00:00,222.14
2022-01-20 13:00:00,257.97
2022-01-20 14:00:00,315.5
2022-01-20 15:00:00,390.67
2022-01-20 16:00:00,424.7
2022-01-20 17:00:00,395.49
2022-01-20 18:00:00,394.78
2022-01-20 19:00:00,424.28
2022-01-20 20:00:00,452.64
2022-01-20 21:00:00,489.28
2022-01-20 22:00:00,556.24
2022-01-20 23:00:00,566.64
2022-01-21 00:00:00,509.94
2022-01-21 01:00:00,434.66
2022-01-21 02:00:00,349.49
2022-01-21 03:00:00,279.79
2022-01-21 04:00:00,233.7
2022-01-21 05:00:00,209.65
2022-01-21 06:00:00,195.06
2022-01-21 07:00:00,184.7
2022-01-21 08:00:00,182.14
2022-01-21 09:00:00,187.27
2022-01-21 10:00:00,201.14
2022-01-21 11:00:00,219.98
2022-01-21 12:00:00,259.08
2022-01-21 13:00:00,318.69
2022-01-21 14:00:00,421.23
2022-01-21 15:00:00,524.08
2022-01-21 16:00:00,560.3
2022-01-21 17:00:00,512.84
2022-01-21 18:00:00,477.14
