datetime,ec
2021-01-01 00:00:00,370.64
2021-01-01 01:00:00,370.99
2021-01-01 02:00:00,373.5
2021-01-01 03:00:00,375.34
2021-01-01 04:00:00,375.93
2021-01-01 05:00:00,384.13
2021-01-01 06:00:00,390.51
2021-01-01 07:00:00,396.77
2021-01-01 08:00:00,400.3
2021-01-01 09:00:00,404.31
2021-01-01 10:00:00,405.74
2021-01-01 11:00:00,410.69
2021-01-01 12:00:00,419.66
2021-01-01 13:00:00,434.82
2021-01-01 14:00:00,434.33
2021-01-01 15:00:00,425.0
2021-01-01 16:00:00,427.96
2021-01-01 17:00:00,429.1
2021-01-01 18:00:00,430.53
2021-01-01 19:00:00,432.44
2021-01-01 20:00:00,432.6
2021-01-01 21:00:00,422.85
2021-01-01 22:00:00,420.79
2021-01-01 23:00:00,424.52
2021-01-02 00:00:00,426.86
2021-01-02 01:00:00,428.22
2021-01-02 02:00:00,430.45
2021-01-02 03:00:00,432.28
2021-01-02 04:00:00,436.86
2021-01-02 05:00:00,440.48
2021-01-02 06:00:00,445.39
2021-01-02 07:00:00,448.46
2021-01-02 08:00:00,452.2
2021-01-02 09:00:00,455.46
2021-01-02 10:00:00,457.39
2021-01-02 11:00:00,460.25
2021-01-02 12:00:00,463.87
2021-01-02 13:00:00,466.21
2021-01-02 14:00:00,476.54
2021-01-02 15:00:00,505.75
2021-01-02 16:00:00,507.1
2021-01-02 17:00:00,506.18
2021-01-02 18:00:00,505.63
2021-01-02 19:00:00,500.72
2021-01-02 20:00:00,500.54
2021-01-02 21:00:00,499.4
2021-01-02 22:00:00,480.24
2021-01-02 23:00:00,478.91
2021-01-03 00:00:00,475.03
2021-01-03 01:00:00,478.0
2021-01-03 02:00:00,482.52
2021-01-03 03:00:00,483.56
2021-01-03 04:00:00,487.38
2021-01-03 05:00:00,489.78
2021-01-03 06:00:00,493.08
2021-01-03 07:00:00,498.34
2021-01-03 08:00:00,505.62
2021-01-03 09:00:00,505.96
2021-01-03 10:00:00,514.68
2021-01-03 11:00:00,527.66
2021-01-03 12:00:00,531.75
2021-01-03 13:00:00,532.4
2021-01-03 14:00:00,534.82
2021-01-03 15:00:00,532.27
2021-01-03 16:00:00,535.56
2021-01-03 17:00:00,535.69
2021-01-03 18:00:00,535.04
2021-01-03 19:00:00,538.64
2021-01-03 20:00:00,545.93
2021-01-03 21:00:00,540.96
2021-01-03 22:00:00,544.98
2021-01-03 23:00:00,536.42
2021-01-04 00:00:00,523.63
2021-01-04 01:00:00,522.65
2021-01-04 02:00:00,520.18
2021-01-04 03:00:00,524.14
2021-01-04 04:00:00,526.42
2021-01-04 05:00:00,530.15
2021-01-04 06:00:00,535.24
2021-01-04 07:00:00,538.07
2021-01-04 08:00:00,545.17
2021-01-04 09:00:00,548.83
2021-01-04 10:00:00,548.28
2021-01-04 11:00:00,565.45
2021-01-04 12:00:00,581.36
2021-01-04 13:00:00,581.9
2021-01-04 14:00:00,590.92
2021-01-04 15:00:00,587.49
2021-01-04 16:00:00,589.84
2021-01-04 17:00:00,589.49
2021-01-04 18:00:00,589.36
2021-01-04 19:00:00,585.58
2021-01-04 20:00:00,589.67
2021-01-04 21:00:00,591.64
2021-01-04 22:00:00,592.95
2021-01-04 23:00:00,574.9
2021-01-05 00:00:00,573.54
2021-01-05 01:00:00,581.68
2021-01-05 02:00:00,582.87
2021-01-05 03:00:00,583.38
2021-01-05 04:00:00,584.31
2021-01-05 05:00:00,590.36
2021-01-05 06:00:00,610.05
2021-01-05 07:00:00,604.61
2021-01-05 08:00:00,614.41
2021-01-05 09:00:00,613.98
2021-01-05 10:00:00,613.98
2021-01-05 11:00:00,621.78
2021-01-05 12:00:00,633.2
2021-01-05 13:00:00,630.31
2021-01-05 14:00:00,632.63
2021-01-05 15:00:00,633.82
2021-01-05 16:00:00,633.57
2021-01-05 17:00:00,632.01
2021-01-05 18:00:00,633.33
2021-01-05 19:00:00,633.21
2021-01-05 20:00:00,632.69
2021-01-05 21:00:00,645.64
2021-01-05 22:00:00,642.05
2021-01-05 23:00:00,641.75
2021-01-06 00:00:00,636.13
2021-01-06 01:00:00,628.95
2021-01-06 02:00:00,627.05
2021-01-06 03:00:00,627.89
2021-01-06 04:00:00,629.7
2021-01-06 05:00:00,633.07
2021-01-06 06:00:00,639.45
2021-01-06 07:00:00,643.54
2021-01-06 08:00:00,651.46
2021-01-06 09:00:00,677.71
2021-01-06 10:00:00,675.4
2021-01-06 11:00:00,681.42
2021-01-06 12:00:00,746.38
2021-01-06 13:00:00,819.5
2021-01-06 14:00:00,827.02
2021-01-06 15:00:00,828.53
2021-01-06 16:00:00,844.79
2021-01-06 17:00:00,829.17
2021-01-06 18:00:00,831.13
2021-01-06 19:00:00,834.78
2021-01-06 20:00:00,819.03
2021-01-06 21:00:00,817.96
2021-01-06 22:00:00,848.9
2021-01-06 23:00:00,867.14
2021-01-07 00:00:00,877.3
2021-01-07 01:00:00,868.94
2021-01-07 02:00:00,834.03
2021-01-07 03:00:00,831.72
2021-01-07 04:00:00,825.46
2021-01-07 05:00:00,822.51
2021-01-07 06:00:00,800.7
2021-01-07 07:00:00,820.52
2021-01-07 08:00:00,884.2
2021-01-07 09:00:00,981.94
2021-01-07 10:00:00,980.06
2021-01-07 11:00:00,963.72
2021-01-07 12:00:00,956.31
2021-01-07 13:00:00,945.81
2021-01-07 14:00:00,930.98
2021-01-07 15:00:00,941.25
2021-01-07 16:00:00,931.39
2021-01-07 17:00:00,888.32
2021-01-07 18:00:00,867.81
2021-01-07 19:00:00,859.7
2021-01-07 20:00:00,859.03
2021-01-07 21:00:00,907.85
2021-01-07 22:00:00,941.45
2021-01-07 23:00:00,1122.61
2021-01-08 00:00:00,1115.88
2021-01-08 01:00:00,1115.17
2021-01-08 02:00:00,1108.75
2021-01-08 03:00:00,1096.08
2021-01-08 04:00:00,1073.7
2021-01-08 05:00:00,1041.69
2021-01-08 06:00:00,1031.24
2021-01-08 07:00:00,1027.11
2021-01-08 08:00:00,1052.13
2021-01-08 09:00:00,1114.53
2021-01-08 10:00:00,1135.89
2021-01-08 11:00:00,1142.44
2021-01-08 12:00:00,1133.84
2021-01-08 13:00:00,1128.88
2021-01-08 14:00:00,1138.04
2021-01-08 15:00:00,1147.86
2021-01-08 16:00:00,1119.59
2021-01-08 17:00:00,1081.16
2021-01-08 18:00:00,1089.72
2021-01-08 19:00:00,1086.29
2021-01-08 20:00:00,1070.71
2021-01-08 21:00:00,1056.45
2021-01-08 22:00:00,1051.5
2021-01-08 23:00:00,1022.84
2021-01-09 00:00:00,1051.34
2021-01-09 01:00:00,1103.73
2021-01-09 02:00:00,1106.4
2021-01-09 03:00:00,1108.03
2021-01-09 04:00:00,1109.54
2021-01-09 05:00:00,1101.27
2021-01-09 06:00:00,1096.32
2021-01-09 07:00:00,1098.17
2021-01-09 08:00:00,1090.77
2021-01-09 09:00:00,1025.89
2021-01-09 10:00:00,1068.24
2021-01-09 11:00:00,1072.54
2021-01-09 12:00:00,1086.55
2021-01-09 13:00:00,1055.55
2021-01-09 14:00:00,1140.06
2021-01-09 15:00:00,1005.13
2021-01-09 16:00:00,1007.62
2021-01-09 17:00:00,929.24
2021-01-09 18:00:00,911.29
