datetime,ec
2020-01-01 00:00:00,27439.72
2020-01-01 01:00:00,26236.97
2020-01-01 02:00:00,26224.02
2020-01-01 03:00:00,24091.66
2020-01-01 04:00:00,24239.46
2020-01-01 05:00:00,24401.07
2020-01-01 06:00:00,23836.99
2020-01-01 07:00:00,23973.09
2020-01-01 08:00:00,24836.2
2020-01-01 09:00:00,26165.77
2020-01-01 10:00:00,27566.19
2020-01-01 11:00:00,28936.03
2020-01-01 12:00:00,30391.91
2020-01-01 13:00:00,31578.63
2020-01-01 14:00:00,32345.71
2020-01-01 15:00:00,31692.19
2020-01-01 16:00:00,31086.41
2020-01-01 17:00:00,30845.92
2020-01-01 18:00:00,30124.9
2020-01-01 19:00:00,29923.64
2020-01-01 20:00:00,29740.11
2020-01-01 21:00:00,29953.38
2020-01-01 22:00:00,30165.09
2020-01-01 23:00:00,28926.77
2020-01-02 00:00:00,28228.59
2020-01-02 01:00:00,27208.91
2020-01-02 02:00:00,27610.47
2020-01-02 03:00:00,27098.36
2020-01-02 04:00:00,25048.96
2020-01-02 05:00:00,25100.97
2020-01-02 06:00:00,25373.12
2020-01-02 07:00:00,24821.77
2020-01-02 08:00:00,25200.65
2020-01-02 09:00:00,25997.82
2020-01-02 10:00:00,27096.06
2020-01-02 11:00:00,28398.1
2020-01-02 12:00:00,29730.24
2020-01-02 13:00:00,30927.48
2020-01-02 14:00:00,31804.68
2020-01-02 15:00:00,31646.67
2020-01-02 16:00:00,31154.8
2020-01-02 17:00:00,30338.94
2020-01-02 18:00:00,29797.83
2020-01-02 19:00:00,29434.57
2020-01-02 20:00:00,29247.33
2020-01-02 21:00:00,28971.0
2020-01-02 22:00:00,28196.17
2020-01-02 23:00:00,27789.35
2020-01-03 00:00:00,27680.94
2020-01-03 01:00:00,26437.29
2020-01-03 02:00:00,26914.89
2020-01-03 03:00:00,24421.42
2020-01-03 04:00:00,24552.2
2020-01-03 05:00:00,24617.06
2020-01-03 06:00:00,24896.68
2020-01-03 07:00:00,24671.88
2020-01-03 08:00:00,25024.73
2020-01-03 09:00:00,26131.99
2020-01-03 10:00:00,27230.0
2020-01-03 11:00:00,28638.46
2020-01-03 12:00:00,29253.31
2020-01-03 13:00:00,30326.57
2020-01-03 14:00:00,31180.45
2020-01-03 15:00:00,31568.99
2020-01-03 16:00:00,31575.95
2020-01-03 17:00:00,30095.41
2020-01-03 18:00:00,29566.29
2020-01-03 19:00:00,29232.16
2020-01-03 20:00:00,29013.2
2020-01-03 21:00:00,28957.33
2020-01-03 22:00:00,27936.75
2020-01-03 23:00:00,27883.4
2020-01-04 00:00:00,26782.22
2020-01-04 01:00:00,26426.3
2020-01-04 02:00:00,26334.91
