datetime,ec
2021-01-01 00:00:00,6337.85
2021-01-01 01:00:00,5116.41
2021-01-01 02:00:00,4066.07
2021-01-01 03:00:00,2960.89
2021-01-01 04:00:00,2679.17
2021-01-01 05:00:00,2650.61
2021-01-01 06:00:00,2794.33
2021-01-01 07:00:00,3858.65
2021-01-01 08:00:00,5016.64
2021-01-01 09:00:00,6455.55
2021-01-01 10:00:00,7717.47
2021-01-01 11:00:00,8923.4
2021-01-01 12:00:00,7860.66
2021-01-01 13:00:00,11826.3
2021-01-01 14:00:00,7891.52
2021-01-01 15:00:00,4451.68
2021-01-01 16:00:00,5662.03
2021-01-01 17:00:00,7163.78
2021-01-01 18:00:00,9320.57
2021-01-01 19:00:00,8306.77
2021-01-01 20:00:00,3943.06
2021-01-01 21:00:00,5188.66
2021-01-01 22:00:00,8925.81
2021-01-01 23:00:00,8359.3
2021-01-02 00:00:00,8649.09
2021-01-02 01:00:00,7980.36
2021-01-02 02:00:00,7028.3
2021-01-02 03:00:00,5537.74
2021-01-02 04:00:00,4797.33
2021-01-02 05:00:00,4135.18
2021-01-02 06:00:00,3930.07
2021-01-02 07:00:00,4165.34
2021-01-02 08:00:00,4992.67
2021-01-02 09:00:00,6077.35
2021-01-02 10:00:00,6968.21
2021-01-02 11:00:00,8993.25
2021-01-02 12:00:00,9952.68
2021-01-02 13:00:00,11144.16
2021-01-02 14:00:00,12332.93
2021-01-02 15:00:00,8483.65
2021-01-02 16:00:00,5624.63
2021-01-02 17:00:00,8797.43
2021-01-02 18:00:00,9607.46
2021-01-02 19:00:00,9919.79
2021-01-02 20:00:00,7327.33
2021-01-02 21:00:00,6292.97
2021-01-02 22:00:00,10321.8
2021-01-02 23:00:00,9704.65
2021-01-03 00:00:00,9366.41
2021-01-03 01:00:00,9140.24
2021-01-03 02:00:00,8564.71
2021-01-03 03:00:00,6794.82
2021-01-03 04:00:00,5895.03
2021-01-03 05:00:00,5159.68
2021-01-03 06:00:00,4561.45
2021-01-03 07:00:00,4787.05
2021-01-03 08:00:00,5334.02
2021-01-03 09:00:00,6626.66
2021-01-03 10:00:00,8436.36
2021-01-03 11:00:00,9691.51
2021-01-03 12:00:00,10824.42
2021-01-03 13:00:00,12105.33
2021-01-03 14:00:00,13151.77
2021-01-03 15:00:00,10420.83
2021-01-03 16:00:00,7071.78
2021-01-03 17:00:00,6425.33
2021-01-03 18:00:00,11783.39
2021-01-03 19:00:00,8915.94
2021-01-03 20:00:00,15601.38
2021-01-03 21:00:00,13589.06
2021-01-03 22:00:00,8124.77
2021-01-03 23:00:00,9900.36
2021-01-04 00:00:00,12689.87
2021-01-04 01:00:00,12703.52
2021-01-04 02:00:00,12080.74
2021-01-04 03:00:00,11011.88
2021-01-04 04:00:00,9641.2
2021-01-04 05:00:00,8466.06
2021-01-04 06:00:00,8077.01
2021-01-04 07:00:00,8091.74
2021-01-04 08:00:00,8569.28
2021-01-04 09:00:00,9976.01
2021-01-04 10:00:00,11574.84
2021-01-04 11:00:00,12865.75
2021-01-04 12:00:00,14640.04
2021-01-04 13:00:00,15753.46
2021-01-04 14:00:00,16680.04
2021-01-04 15:00:00,16279.47
2021-01-04 16:00:00,9946.7
2021-01-04 17:00:00,8719.11
2021-01-04 18:00:00,11820.67
2021-01-04 19:00:00,14316.8
2021-01-04 20:00:00,16579.58
2021-01-04 21:00:00,13639.4
2021-01-04 22:00:00,7607.04
