datetime,ec
2022-01-01 00:00:00,580.25
2022-01-01 01:00:00,558.42
2022-01-01 02:00:00,537.72
2022-01-01 03:00:00,529.64
2022-01-01 04:00:00,538.4
2022-01-01 05:00:00,550.69
2022-01-01 06:00:00,591.25
2022-01-01 07:00:00,612.12
2022-01-01 08:00:00,631.08
2022-01-01 09:00:00,642.51
2022-01-01 10:00:00,656.98
2022-01-01 11:00:00,660.27
2022-01-01 12:00:00,668.64
2022-01-01 13:00:00,669.48
2022-01-01 14:00:00,677.78
2022-01-01 15:00:00,668.63
2022-01-01 16:00:00,685.63
2022-01-01 17:00:00,695.16
2022-01-01 18:00:00,680.31
2022-01-01 19:00:00,688.07
2022-01-01 20:00:00,688.19
2022-01-01 21:00:00,687.49
2022-01-01 22:00:00,683.54
2022-01-01 23:00:00,633.51
2022-01-02 00:00:00,676.39
2022-01-02 01:00:00,641.57
2022-01-02 02:00:00,614.6
2022-01-02 03:00:00,543.06
2022-01-02 04:00:00,482.85
2022-01-02 05:00:00,543.76
2022-01-02 06:00:00,546.03
2022-01-02 07:00:00,616.34
2022-01-02 08:00:00,640.91
2022-01-02 09:00:00,657.06
2022-01-02 10:00:00,686.05
2022-01-02 11:00:00,605.05
2022-01-02 12:00:00,722.75
2022-01-02 13:00:00,730.05
2022-01-02 14:00:00,731.98
2022-01-02 15:00:00,747.42
2022-01-02 16:00:00,744.76
2022-01-02 17:00:00,745.26
2022-01-02 18:00:00,727.18
2022-01-02 19:00:00,733.38
2022-01-02 20:00:00,743.26
2022-01-02 21:00:00,734.4
2022-01-02 22:00:00,724.46
2022-01-02 23:00:00,665.94
2022-01-03 00:00:00,684.11
2022-01-03 01:00:00,663.75
2022-01-03 02:00:00,674.64
2022-01-03 03:00:00,635.29
2022-01-03 04:00:00,590.34
2022-01-03 05:00:00,535.9
2022-01-03 06:00:00,542.96
2022-01-03 07:00:00,588.44
2022-01-03 08:00:00,610.38
2022-01-03 09:00:00,639.14
2022-01-03 10:00:00,690.68
2022-01-03 11:00:00,719.92
2022-01-03 12:00:00,747.97
2022-01-03 13:00:00,787.19
2022-01-03 14:00:00,832.72
2022-01-03 15:00:00,840.49
2022-01-03 16:00:00,848.97
2022-01-03 17:00:00,790.35
2022-01-03 18:00:00,835.81
2022-01-03 19:00:00,802.6
2022-01-03 20:00:00,770.37
2022-01-03 21:00:00,776.94
2022-01-03 22:00:00,762.96
2022-01-03 23:00:00,700.18
2022-01-04 00:00:00,673.16
2022-01-04 01:00:00,719.83
2022-01-04 02:00:00,694.75
2022-01-04 03:00:00,681.56
2022-01-04 04:00:00,676.56
2022-01-04 05:00:00,610.94
2022-01-04 06:00:00,567.29
2022-01-04 07:00:00,572.55
2022-01-04 08:00:00,628.05
2022-01-04 09:00:00,657.03
2022-01-04 10:00:00,634.65
2022-01-04 11:00:00,746.85
2022-01-04 12:00:00,808.54
2022-01-04 13:00:00,911.9
2022-01-04 14:00:00,1054.62
2022-01-04 15:00:00,1072.06
2022-01-04 16:00:00,1128.09
2022-01-04 17:00:00,1105.28
2022-01-04 18:00:00,1071.93
2022-01-04 19:00:00,1002.98
2022-01-04 20:00:00,980.08
2022-01-04 21:00:00,958.02
2022-01-04 22:00:00,937.62
2022-01-04 23:00:00,822.34
2022-01-05 00:00:00,819.18
2022-01-05 01:00:00,796.71
2022-01-05 02:00:00,763.64
2022-01-05 03:00:00,819.58
2022-01-05 04:00:00,795.51
2022-01-05 05:00:00,759.69
2022-01-05 06:00:00,645.17
2022-01-05 07:00:00,581.03
2022-01-05 08:00:00,616.73
2022-01-05 09:00:00,643.18
2022-01-05 10:00:00,681.49
2022-01-05 11:00:00,742.36
2022-01-05 12:00:00,840.85
2022-01-05 13:00:00,923.49
2022-01-05 14:00:00,1051.99
2022-01-05 15:00:00,871.45
2022-01-05 16:00:00,1065.57
2022-01-05 17:00:00,1036.45
2022-01-05 18:00:00,1049.88
2022-01-05 19:00:00,1098.07
2022-01-05 20:00:00,938.09
2022-01-05 21:00:00,1102.03
2022-01-05 22:00:00,1018.39
2022-01-05 23:00:00,903.63
2022-01-06 00:00:00,948.4
2022-01-06 01:00:00,731.39
